WORD,COUNT,RANK
speake:,5,448
stands,5,449
stay,5,450
strike,5,451
strong,5,452
sword,5,453
takes,5,454
ten,5,455
tertia.,5,456
thankes,5,457
"then,",5,458
there?,5,459
thing,5,460
tongue,5,461
toth',5,462
toward,5,463
truth,5,464
"vs,",5,465
wife,5,466
words,5,467
world,5,468
you?,5,469
'gainst,4,470
1.murth.,4,471
all's,4,472
"all,",4,473
ang.,4,474
appar.,4,475
"are,",4,476
away,4,477
bad,4,478
become,4,479
"before,",4,480
bene,4,481
broke,4,482
bubble,4,483
businesse,4,484
call'd,4,485
cause,4,486
certaine,4,487
colours.,4,488
comfort,4,489
command,4,490
cry,4,491
daggers,4,492
dead,4,493
dearest,4,494
diuell,4,495
double,4,496
"downe,",4,497
drum,4,498
"dunsinane,",4,499
england,4,500
enough:,4,501
"euer,",4,502
"eye,",4,503
face,4,504
faire,4,505
fatall,4,506
fate,4,507
feare.,4,508
feare:,4,509
feele,4,510
fire,4,511
fit,4,512
flye,4,513
"flye,",4,514
former,4,515
free,4,516
"further,",4,517
golden,4,518
gone,4,519
"grace,",4,520
"hands,",4,521
health,4,522
heauie,4,523
heere's,4,524
"heere,",4,525
helpe,4,526
here's,4,527
hide,4,528
honest,4,529
"houre,",4,530
issue,4,531
keepes,4,532
"kings,",4,533
kings.,4,534
"lady,",4,535
laugh,4,536
lay,4,537
least,4,538
lyes,4,539
macbeths,4,540
macduffe,4,541
malcolme,4,542
man:,4,543
mes.,4,544
messenger.,4,545
"minde,",4,546
"more,",4,547
morrow,4,548
murther'd,4,549
need,4,550
not.,4,551
note,4,552
"now,",4,553
"o,",4,554
often,4,555
oh,4,556
on:,4,557
performe,4,558
play,4,559
pronounce,4,560
prythee,4,561
quarta.,4,562
reason,4,563
remember,4,564
rise,4,565
safe,4,566
said,4,567
saw,4,568
scaena,4,569
"scotland,",4,570
second,4,571
"see,",4,572
"seyton,",4,573
"sight,",4,574
so?,4,575
something,4,576
sonne,4,577
"sonne,",4,578
sorrow,4,579
sound,4,580
spend,4,581
state,4,582
"still,",4,583
sweet,4,584
sword:,4,585
terrible,4,586
"thane,",4,587
thanke,4,588
thither,4,589
"thought,",4,590
thousand,4,591
thrice,4,592
title,4,593
too:,4,594
towards,4,595
"trouble,",4,596
true,4,597
violent,4,598
vs:,4,599
vse,4,600
was't,4,601
wee,4,602
went,4,603
"what,",4,604
whether,4,605
whiles,4,606
whole,4,607
witches.,4,608
wrought,4,609
y.sey.,4,610
yeeld,4,611
young,4,612
'em,3,613
'twere,3,614
(as,3,615
absolute,3,616
affraid,3,617
"againe,",3,618
againe.,3,619
againe:,3,620
alarums.,3,621
aliue,3,622
already,3,623
"ambition,",3,624
amen,3,625
"angus,",3,626
angus.,3,627
anon,3,628
applaud,3,629
approach,3,630
"arme,",3,631
"art,",3,632
"awake,",3,633
"ayre,",3,634
ayre:,3,635
"be,",3,636
bed.,3,637
been,3,638
began,3,639
bell,3,640
bin,3,641
black,3,642
blacke,3,643
blesse,3,644
blow,3,645
boyle,3,646
breake,3,647
"burne,",3,648
"businesse,",3,649
byrnane,3,650
cap.,3,651
care,3,652
cast,3,653
castle,3,654
castles,3,655
catch,3,656
cath.,3,657
cawdor.,3,658
cawdor?,3,659
"chamber,",3,660
chance,3,661
charme,3,662
