,home,Average
215,Uthura Yellows,158
216,Uttar Pradesh,151.1428571
217,Victoria,167.4166667
218,Warriors,145.0857143
219,Warwickshire,157.925
220,Wayamba United,156
221,Wellington,166.3529412
222,West Indies,135.4285714
223,West Indies A,122.6
224,Western Australia,169.875
225,Western Province,151.5
226,Western Troopers,165
227,Worcestershire,168.0588235
228,Yorkshire,158
229,Zimbabwe,161
230,Zimbabwe XI,160
231,Antigua Hawksbills,106
232,Bangladesh XI,132
233,Barisal Division,118
234,Colombo Commandos,155
235,Combined Provinces,156
236,Eastern Cape,116
237,FATA Cheetas,140
238,Galle Guardians,145.3333333
239,Grenada,70
240,Gujarat Lions,161
241,Hyderabad Region,175
242,Jersey,107
243,Kandy Crusaders,156
244,Khulna Division,134
245,Khyber Pakhtunkhwa,146
246,Lahore Blues,136
247,Lahore Region Blues,125.5
248,Lahore Region Whites,169
249,Lankan Cricket Club,93
250,Larkana Region,142
251,Mohammedan Sporting Club,130
252,Montserrat,70
253,Nagenahira Nagas,77
254,National Bank of Pakistan,81
255,Nepal,132
256,Nevis,104
257,North Island,127
258,Pakistan International Airlines,139.75
259,Pakistan Television,143
260,Peshawar Region,170
261,Quetta Gladiators,146
262,Rising Pune Supergiants,124.5
263,Services,109
264,Southern Rocks,122
265,Sri Lanka Army,128.5
266,Sri Lanka Ports Authority Cricket Club,117
267,St Vincent,96
268,Sui Northern Gas Pipelines Limited,66
269,Sylhet Royals,126
270,Sylhet Super Stars,112
271,Uganda,124
272,Uthura Rudras,156
273,Uva Next,101
274,Wayamba,131.75
